english,dutch
cap,pet
comfortable,comfortabel
jacket,jas
jumper,trui
leather,lederen
pretty,mooi
to put on,aandoen
raincoat,regenjas
shorts,korte broek
tank top,hemdje
tight,strak
trainers,gympen
underwear,ondergoed
to bring,(mee)brengen
trousers,broek
enough,genoeg
cheap,goedkoop
dress,jurk
clothes,kleding
boots,laarzen
size,maat
of course,natuurlijk
shirt,overhemd
to try on,passen
shoes,schoenen
jeans,spijkerbroek
bag,tas
skirt,rok
to take off,uitdoen
